City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,lompoc,34.6391,-120.4579,72.7,51,1,11.99,US,1675807565
243,turbat,26.0023,63.044,66.36,41,1,1.45,PK,1675807362
244,bambous virieux,-20.3428,57.7575,80.85,74,40,13.8,MU,1675807567
245,cherskiy,68.75,161.3,-32.55,99,100,5.39,RU,1675807568
246,richards bay,-28.783,32.0377,74.07,95,59,4.88,ZA,1675807569
247,bima,-8.4667,118.7167,76.39,94,100,1.95,ID,1675807570
248,rosetta,31.4044,30.4164,54.41,62,84,16.55,EG,1675807571
249,abha,18.2164,42.5053,53.85,71,0,4.61,SA,1675807300
250,san carlos de bariloche,-41.1456,-71.3082,80.35,17,20,14.97,AR,1675807573
251,urusha,54.05,122.9,-18.29,96,100,1.97,RU,1675807573
252,quelimane,-17.8786,36.8883,76.33,94,99,4.88,MZ,1675807574
253,vardo,70.3705,31.1107,33.78,75,40,34.52,NO,1675807574
254,saint-dizier,48.4167,5.0833,26.2,61,10,7.72,FR,1675807575
255,saldanha,-33.0117,17.9442,64.45,88,37,21.81,ZA,1675807575
256,prince rupert,54.3161,-130.3201,42.49,80,75,25.32,CA,1675807576
257,talnakh,69.4865,88.3972,-9.44,98,99,6.51,RU,1675807577
258,bathsheba,13.2167,-59.5167,79.41,73,40,16.11,BB,1675807577
259,pouebo,-20.4,164.5667,81.1,79,94,2.15,NC,1675807578
260,salalah,17.0151,54.0924,69.89,43,0,3.44,OM,1675807579
261,waingapu,-9.6567,120.2641,78.04,87,98,8.41,ID,1675807579
262,warburton,31.55,73.8333,50.85,46,36,3.44,PK,1675807579
263,sayyan,15.1718,44.3244,54.81,48,3,2.06,YE,1675807580
264,acapulco,16.8634,-99.8901,84.02,65,20,14.97,MX,1675807580
265,sao filipe,14.8961,-24.4956,68.88,64,3,15.3,CV,1675807475
266,wladyslawowo,54.7909,18.4009,33.48,87,76,10.31,PL,1675807581
267,taltal,-25.4,-70.4833,72.93,74,62,6.85,CL,1675807429
268,beloha,-25.1667,45.05,73.35,85,100,6.2,MG,1675807581
269,andenes,69.3143,16.1194,39.18,60,40,24.16,NO,1675807582
270,hattiesburg,31.3271,-89.2903,66.13,95,100,8.05,US,1675807583
271,chiang kham,19.5233,100.3,62.73,43,13,1.36,TH,1675807583
272,chifeng,42.2683,118.9636,15.82,40,0,6.08,CN,1675807584
273,aykino,62.2248,49.9922,14.92,93,100,10.02,RU,1675807584
274,nhamunda,-2.1861,-56.7131,77.31,93,86,0.74,BR,1675807585
275,doembang nangbuat,14.8333,100.1,79.05,78,2,6.67,TH,1675807585
276,oum hadjer,13.2954,19.6966,74.23,17,61,11.9,TD,1675807586
277,thompson,55.7435,-97.8558,1.56,78,100,4.61,CA,1675807586
278,nago,26.5881,127.9761,65.25,82,16,9.08,JP,1675807586
279,kununurra,-15.7667,128.7333,75.18,88,3,0.0,AU,1675807587
280,port lincoln,-34.7333,135.8667,67.32,75,2,12.88,AU,1675807587
281,bilibino,68.0546,166.4372,-40.23,100,100,0.45,RU,1675807588
282,coos bay,43.3665,-124.2179,51.93,93,100,17.27,US,1675807588
283,makkaveyevo,51.7533,113.9454,-12.19,100,57,3.24,RU,1675807589
284,belyy yar,53.6039,91.3903,4.89,93,100,2.24,RU,1675807589
285,pisco,-13.7,-76.2167,80.65,65,0,20.71,PE,1675807590
286,kidal,18.4411,1.4078,78.89,12,99,11.65,ML,1675807591
287,mangan,27.5167,88.5333,52.21,86,100,3.89,IN,1675807592
288,lida,53.8833,25.2997,27.1,93,99,4.21,BY,1675807593
289,karbinci,41.8167,22.2375,24.44,68,0,2.1,MK,1675807593
290,kaitangata,-46.2817,169.8464,53.4,74,95,12.71,NZ,1675807337
291,zhezkazgan,47.8043,67.7144,1.38,85,75,6.71,KZ,1675807594
292,iqaluit,63.7506,-68.5145,-27.31,74,75,5.75,CA,1675807594
293,bonavista,48.6499,-53.1147,22.15,66,100,20.6,CA,1675807594
294,port blair,11.6667,92.75,78.84,78,40,2.3,IN,1675807595
295,moose factory,51.2585,-80.6094,24.8,79,100,19.57,CA,1675807595
